ForecastID,Confirmed,Deaths
0,126766,2190
1,5323,38
2,202344,5032
3,61231,811
4,718506,13059
5,57712,1945
6,52943,4465
7,17473,608
8,625863,11277
9,272156,5695
10,8638,71
11,32471,366
12,238345,8258
13,95131,3308
14,65733,1131
15,43074,453
16,48869,938
17,148700,4973
18,4546,132
19,108764,3761
20,128967,9065
21,113887,6774
22,76551,1877
23,83653,2485
24,86850,1556
25,7608,105
26,34474,399
27,69813,1307
28,7281,431
29,192203,15855
30,25438,781
31,435276,32966
32,167824,2717
33,12080,144
34,123536,4155
35,59291,806
36,26862,462
37,139370,7668
38,22069,1051
39,121096,2737
40,13696,166
41,156159,1776
42,637689,12809
43,52255,411
44,1628,58
45,121683,2584
46,75051,1921
47,10395,220
48,75798,1120
49,3873,37
50,127166,2215
51,5386,38
52,202621,5097
53,61632,827
54,724053,13229
55,58044,1948
56,53071,4466
57,17487,607
58,629179,11422
59,273907,5746
60,8929,73
61,32741,375
62,240496,8291
63,95864,3324
64,66900,1143
65,43930,458
66,49720,948
67,149432,5028
68,4567,132
69,109102,3768
70,129381,9089
71,114688,6784
72,77255,1897
73,84477,2524
74,88696,1567
75,7753,107
76,34725,402
77,69579,1329
78,7287,432
79,192481,15807
80,25588,785
81,435879,32978
82,168530,2746
83,12333,144
84,124256,4182
85,59971,826
86,26954,468
87,139958,7695
88,22137,1054
89,120913,2772
90,13953,168
91,157344,1810
92,644562,13004
93,52524,415
94,1633,58
95,122660,2601
96,75192,1921
97,10615,224
98,76896,1131
99,3904,38
100,128470,2236
101,5476,38
102,203223,5142
103,62267,837
104,729060,13356
105,58440,1949
106,53138,4467
107,17544,607
108,632529,11490
109,275694,5814
110,9256,75
111,33073,382
112,242636,8313
113,97025,3337
114,68683,1158
115,44478,463
116,50461,958
117,150163,5062
118,4598,132
119,109600,3774
120,129861,9115
121,115547,6808
122,78277,1913
123,84981,2545
124,90582,1580
125,7920,109
126,35027,411
127,70165,1353
128,7299,435
129,192777,15939
130,25760,788
131,436561,32980
132,169490,2772
133,12639,144
134,124876,4204
135,60750,840
136,27160,472
137,140646,7715
138,22232,1057
